"row"	"friends"	"getgoods"
"1"	204.5	46.2
"2"	248	53.1
"3"	248	53.1
"4"	303	54.2
"5"	303	54.2
"6"	303	54.2
"7"	278	47.6
"8"	297.5	47.6
"9"	304	47.6
"10"	329.5	47.6
"11"	317	47.6
"12"	311	47.6
"13"	272.5	47.6
"14"	235	46.2
"15"	223	46.2
"16"	224.5	46.2
"17"	224.5	46.2
"18"	212.5	46.2
"19"	189.5	46.2
"20"	189.5	46.2
"21"	189.5	46.2
"22"	200.5	46.2
"23"	198.5	46.2
"24"	204.5	46.2
"25"	219.5	46.2
"26"	222.5	46.2
"27"	234	46.2
"28"	222.5	46.2
"29"	222.5	46.2
"30"	211.5	46.2
"31"	211.5	46.2
"32"	208.5	46.2
"33"	199.5	46.2
"34"	189	46.2
"35"	187.5	46.2
"36"	168	50.1
"37"	168.5	50.1
"38"	196.5	50.1
"39"	192	50.1
"40"	270	57.2
"41"	270	57.2
"42"	286	55.2
"43"	286	55.2
"44"	286	55.2
"45"	286	55.2
"46"	255	55.2
"47"	255	55.2
"48"	284	55.2
"49"	293.5	55.2
"50"	304	55.2
"51"	340.5	56.1
"52"	340.5	56.1
"53"	340.5	56.1
"54"	340.5	56.1
"55"	365.5	59
"56"	434.5	59.7
"57"	459	59
"58"	416	58.9
"59"	390.5	54.7
"60"	346.5	54.7
"61"	361	54.7
"62"	340.5	54.7
"63"	361	54.7
"64"	399	54.7
"65"	461	58.39
"66"	330.5	60.2
"67"	330.5	60.2
"68"	324.5	59.1
"69"	324.5	59.1
"70"	324.5	59.1
"71"	264	58.7
"72"	264	58.7
"73"	264	58.7
"74"	264	58.7
"75"	212.5	56.3
"76"	225	56.3
"77"	202.5	56.3
"78"	204.5	56.3
"79"	250.5	56.3
"80"	225	56.3
"81"	270	57.4
"82"	270	57.4
"83"	270	57.4
"84"	270	57.4
"85"	238.5	55.1
"86"	221.5	55.1
"87"	221	55.1
"88"	187	55.1
"89"	171	51.1
"90"	170.5	51.1
"91"	154.5	51.1
"92"	154.5	51.1
"93"	183	53.6
"94"	183	53.6
"95"	180.5	53.6
"96"	174.5	55.5
"97"	174.5	55.5
"98"	174.5	55.5
"99"	174.5	55.5
"100"	174.5	55.5
"101"	138.5	48
"102"	142.5	48
"103"	135.5	48
"104"	135.5	48
"105"	121	48
"106"	105	48
"107"	110.5	48
"108"	106	48
"109"	121.5	48
"110"	127	48
"111"	138.5	48
"112"	133.5	45.3
"113"	117.5	45.3
"114"	127	45.3
"115"	112.5	45.3
"116"	123	45.3
"117"	136.5	45.3
"118"	137	45.3
"119"	123.5	45.3
"120"	137.5	45.3
"121"	112.5	41.9
"122"	109.5	41.9
"123"	104	41.9
"124"	97	41.9
"125"	100	41.9
"126"	99.5	41.9
"127"	87.5	41.9
"128"	89	37.6
"129"	90.5	37.6
"130"	98.5	37.6
"131"	105.5	37.6
"132"	113.5	37.6
"133"	116	37.6
"134"	123	37.6
"135"	117	37.6
"136"	105.5	37.6
"137"	98	37.6
"138"	92	37.6
"139"	83	37.6
"140"	83	37.6
"141"	80.5	37.6
"142"	71.5	37.6
"143"	66	12.9
"144"	70.5	12.9
"145"	67	12.9
"146"	70.5	12.9
"147"	75.5	12.9
"148"	73	12.9
"149"	76	12.9
"150"	76	12.9
"151"	80.5	12.9
"152"	79.5	12.9
"153"	80.5	12.9
"154"	81	12.9
"155"	87	12.9
"156"	87	12.9
"157"	86.5	12.9
"158"	93.5	39.5
"159"	87.5	39.5
"160"	88	12.9
"161"	89.5	39.5
"162"	98.5	39.5
"163"	102	39.5
"164"	108	39.5
"165"	121	39.5
"166"	114	39.5
"167"	102	39.5
"168"	121	39.5
"169"	105	39.5
"170"	113	39.5
"171"	121	39.5
"172"	119	39.5
"173"	129.5	49
"174"	132	49
"175"	135	49
"176"	156.5	49
"177"	177.5	49
"178"	165.5	49
"179"	145.5	49
"180"	141	51.2
"181"	137	51.2
"182"	129.5	51.2
"183"	135	51.2
"184"	142	51.2
"185"	149	51.2
"186"	163.5	51.2
"187"	159.5	51.2
"188"	189	56.3
"189"	228	56.3
"190"	228	56.3
"191"	323.5	56.3
"192"	323.5	56.3
"193"	323.5	56.3
"194"	310.5	59.9
"195"	310.5	59.9
"196"	282	57.8
"197"	365	59.6
"198"	365	59.6
"199"	365	59.6
"200"	382.5	59.7
"201"	382.5	59.7
"202"	313.5	58.5
"203"	313.5	58.5
"204"	255.5	58.39
"205"	255.5	58.39
"206"	197	51.1
"207"	217.5	51.1
"208"	217.5	51.1
"209"	211.5	51.1
"210"	193.5	51.1
"211"	193.5	51.1
"212"	183	51.1
"213"	182.5	51.1
"214"	197	51.1
"215"	179	51.1
"216"	197	51.1
"217"	155.5	45
"218"	171	45
"219"	144	45
"220"	168	45
"221"	143	49.3
"222"	152	49.3
"223"	163.5	49.3
"224"	163.5	49.3
"225"	144.5	49.6
"226"	144.5	49.6
"227"	160.5	49.6
"228"	160.5	49.6
"229"	168.5	49.6
"230"	168.5	49.6
"231"	183.5	49.6
"232"	183.5	49.6
"233"	191.5	49.3
"234"	182.5	49.3
"235"	182.5	49.3
"236"	182.5	49.3
"237"	207	49.3
"238"	207	49.3
"239"	309	57.2
"240"	309	57.2
"241"	316.5	57.2
"242"	316.5	57.2
"243"	351.5	57.2
"244"	351.5	57.2
"245"	397.5	56.9
"246"	397.5	56.9
"247"	402.5	56.9
"248"	402.5	56.9
"249"	391	56.9
"250"	391	56.9
"251"	369.5	56.9
"252"	369.5	56.9
"253"	445	56.9
"254"	445	56.9
"255"	461	60.8
"256"	461	60.8
"257"	316.5	60.6
"258"	90	35.3
"259"	94.5	35.3
"260"	100.5	35.3
"261"	105.5	35.3
"262"	106.5	35.3
"263"	114	35.3
